Region,ID,Species,State,ACTIVITY,LOCAL_QUALIFIER,nPlanted,nSurvived,Seedlot,Year_COMPLETED,FirstPlantingDate,LastPlantingDate,NurseryCode,SeedStock2023,SeedStockUnits,SeedLAT,SeedLONG,Elevation_PlantingLoc,PlantedElevation,SeedElevation,centroid_PlantingLoc,aet_Planting,aet_Seed,def_Planting,def_Seed,tmax_Planting,tmax_Seed,tmin_Planting,tmin_Seed,Elev_Diff,CWD_Diff,AET_Diff,Tmax_Diff,Tmin_Diff,centroid_PlantingLoc_LONG,centroid_PlantingLoc_LAT,GeographicalDistance_km
2,0204056102001001984,PIPO,CO,NA,NA,8,NA,PP04247082XX,NA,NA,NA,NA,105608,lbs,46.46128,-115.6303,2426.32,2426.32,1604.8,"c(-108.349115300001, 38.0594462140644)",414.6750030517578,541.70001220703125,630.1999969482422,193.3000030517578,27.764999866485596,24.43000030517578,-11.177500009536743,-8.239999771118164,250.39929600000008,436.8999938964844,-127.02500915527344,3.3349995613098145,-2.937500238418579,-108.349115300001,38.0594462140644,1110.0227711369203
2,0204056102001028000,PIPO,CO,NA,NA,4,NA,PP0424708203,NA,NA,NA,NA,105608,lbs,46.46128,-115.6303,2371.55,2371.55,1604.8,"c(-108.360699999989, 38.0541799976845)",415,541.70001220703125,641.70001220703125,193.3000030517578,28.549999237060547,24.43000030517578,-11.1899995803833,-8.239999771118164,233.70540000000008,448.40000915527344,-126.70001220703125,4.119998931884766,-2.9499998092651367,-108.360699999989,38.0541799976845,1110.01761633509
2,0204056102001001984,PIPO,CO,NA,NA,8,NA,PP04247082XX,NA,NA,NA,NA,105608,lbs,46.46128,-115.6303,2423.83,2423.83,1604.8,"c(-108.350182900005, 38.0593174653363)",415.1000061035156,541.70001220703125,633.5999755859375,193.3000030517578,27.739999771118164,24.43000030517578,-11.130000114440918,-8.239999771118164,249.640344,440.2999725341797,-126.60000610351562,3.309999465942383,-2.890000343322754,-108.350182900005,38.0593174653363,1109.9879725037842
2,0204056102001027008,PIPO,CO,NA,NA,8,NA,PP0424708203,NA,NA,NA,NA,105608,lbs,46.46128,-115.6303,2330.92,2330.92,1604.8,"c(-108.363630000009, 38.0536099976635)",414.79998779296875,541.70001220703125,648.29998779296875,193.3000030517578,28.239999771118164,24.43000030517578,-10.979999542236328,-8.239999771118164,221.32137600000004,454.99998474121094,-126.9000244140625,3.809999465942383,-2.739999771118164,-108.363630000009,38.0536099976635,1109.9431810355322
2,0204056102001028000,PIPO,CO,NA,NA,7,NA,PP0424708203,NA,NA,NA,NA,105608,lbs,46.46128,-115.6303,2375.86,2375.86,1604.8,"c(-108.360420000023, 38.0551099976896)",415,541.70001220703125,641.70001220703125,193.3000030517578,28.549999237060547,24.43000030517578,-11.1899995803833,-8.239999771118164,235.01908800000007,448.40000915527344,-126.70001220703125,4.119998931884766,-2.9499998092651367,-108.360420000023,38.0551099976896,1109.9405197496164
2,0204056102001001984,PIPO,CO,NA,NA,9,NA,PP04247082XX,NA,NA,NA,NA,105608,lbs,46.46128,-115.6303,2417.17,2417.17,1604.8,"c(-108.351765400012, 38.0591243476544)",414.70001220703125,541.70001220703125,629.20001220703125,193.3000030517578,27.84000015258789,24.43000030517578,-11.220000267028809,-8.239999771118164,247.61037600000006,435.90000915527344,-127,3.4099998474121094,-2.9800004959106445,-108.351765400012,38.0591243476544,1109.9366199265162
2,0204056102001001984,PIPO,CO,NA,NA,8,NA,PP04247082XX,NA,NA,NA,NA,105608,lbs,46.46128,-115.6303,2419.09,2419.09,1604.8,"c(-108.350113100023, 38.0605888401177)",413.8999938964844,541.70001220703125,634.79998779296875,193.3000030517578,27.84000015258789,24.43000030517578,-11.119999885559082,-8.239999771118164,248.19559200000006,441.49998474121094,-127.80001831054688,3.4099998474121094,-2.880000114440918,-108.350113100023,38.0605888401177,1109.868830628154
2,0204056102001028000,PIPO,CO,NA,NA,9,NA,PP0424708203,NA,NA,NA,NA,105608,lbs,46.46128,-115.6303,2364.03,2364.03,1604.8,"c(-108.360309999985, 38.0559699976224)",414.40000915527344,541.70001220703125,632,193.3000030517578,28.369999885559082,24.43000030517578,-11.274999856948853,-8.239999771118164,231.4133040000001,438.6999969482422,-127.30000305175781,3.939999580383301,-3.0350000858306885,-108.360309999985,38.0559699976224,1109.862657635093
2,0204056102001027008,PIPO,CO,NA,NA,9,NA,PP0424708203,NA,NA,NA,NA,105608,lbs,46.46128,-115.6303,2322.45,2322.45,1604.8,"c(-108.362920000022, 38.0550499976261)",414.79998779296875,541.70001220703125,648.29998779296875,193.3000030517578,28.239999771118164,24.43000030517578,-10.979999542236328,-8.239999771118164,218.73971999999998,454.99998474121094,-126.9000244140625,3.809999465942383,-2.739999771118164,-108.362920000022,38.0550499976261,1109.8359819521081
2,0204056102001028000,PIPO,CO,NA,NA,8,NA,PP0424708203,NA,NA,NA,NA,105608,lbs,46.46128,-115.6303,2331.97,2331.97,1604.8,"c(-108.360529999972, 38.0569299976288)",413.70001220703125,541.70001220703125,641.70001220703125,193.3000030517578,28.440000534057617,24.43000030517578,-10.979999542236328,-8.239999771118164,221.64141599999996,448.40000915527344,-128,4.010000228881836,-2.739999771118164,-108.360529999972,38.0569299976288,1109.7606158793135
2,0204056104030012992,PIPO,CO,NA,NA,7,NA,PP04247082XX,NA,NA,NA,NA,105608,lbs,46.46128,-115.6303,2416.92,2416.92,1604.8,"c(-108.391505000705, 38.0428272480569)",421.29998779296875,541.70001220703125,604.5,193.3000030517578,27.6299991607666,24.43000030517578,-11.25,-8.239999771118164,247.53417600000006,411.1999969482422,-120.4000244140625,3.1999988555908203,-3.010000228881836,-108.391505000705,38.0428272480569,1109.7536684056672
