"Region","ID","Species","State","ACTIVITY","LOCAL_QUALIFIER","nPlanted","nSurvived","Seedlot","Year_COMPLETED","FirstPlantingDate","LastPlantingDate","Nursery","SeedStock2023","SeedStockUnits","SeedLAT","SeedLONG","Elevation_PlantingLoc","PlantedElevation","SeedElevation"
"4","0419030123901010000","PIEN","UT","Plant Trees","N/A",NA,NA,"ES19130090",2017,2017-06-15,2017-06-15,"LPK",10.49,"lbs",40.266,-111.122,2780.46,2780.46,2878.86
"4","0419040040660132000","PIEN","UT","Plant Trees","N/A",NA,NA,"ES19130090",2019,2019-06-30,2019-06-30,"LPK",10.49,"lbs",40.266,-111.122,2902.98,2902.98,2878.86
"4","0419030010320103001","PIEN","UT","Fill-in or Replant Trees","N/A",NA,NA,"ES18770095",2014,2014-06-13,2014-06-13,"LPK",8.76,"lbs",40.479447,-110.982725,2854.85,2854.85,2894.81
"4","0419030010320111001","PIEN","UT","Fill-in or Replant Trees","N/A",NA,NA,"ES18770095",2013,2013-06-13,2013-06-13,"LPK",8.76,"lbs",40.479447,-110.982725,2875.49,2875.49,2894.81
"4","0419030010320102001","PIEN","UT","Fill-in or Replant Trees","N/A",NA,NA,"ES18770095",2014,2014-06-13,2014-06-13,"LPK",8.76,"lbs",40.479447,-110.982725,2859.8,2859.8,2894.81
"4","0419030010320104001","PIEN","UT","Fill-in or Replant Trees","N/A",NA,NA,"ES18770095",2013,2013-06-13,2013-06-13,"LPK",8.76,"lbs",40.479447,-110.982725,2870.22,2870.22,2894.81
"4","0419030010260101001","PIEN","UT","Plant Trees","N/A",NA,NA,"ES19800090",2015,2015-06-10,2015-06-10,"LPK",0.44,"lbs",40.66887,-110.95959,2728.62,2728.62,3008.36
"4","0419040040750115000","PIEN","UT","Plant Trees","N/A",NA,NA,"ES19800000",2012,2012-06-18,2012-06-18,"LPK",0.06,"lbs",40.809532,-110.898996,3154.44,3154.44,3045.74
"4","0419040040750116000","PIEN","UT","Plant Trees","N/A",NA,NA,"ES19800000",2012,2012-06-18,2012-06-18,"LPK",0.06,"lbs",40.809532,-110.898996,3165.09,3165.09,3045.74
"4","0419040040660133000","PIEN","UT","Plant Trees","N/A",NA,NA,"ES19130099",2019,2019-06-30,2019-06-30,"LPK",20.37,"lbs",40.838423,-110.970335,2901.01,2901.01,3013.51
"4","0419040041210115000","PIEN","UT","Plant Trees","N/A",NA,NA,"ES19911095",2012,2012-06-18,2012-06-18,"LPK",0.76,"lbs",40.857569,-110.964604,3036.03,3036.03,2868.94
"4","0419040040650115000","PIEN","UT","Plant Trees","N/A",NA,NA,"ES19911095",2019,2019-06-30,2019-06-30,"LPK",0.76,"lbs",40.857569,-110.964604,2845.33,2845.33,2868.94
"4","0419030123901003001","PIEN","UT","Fill-in or Replant Trees","N/A",NA,NA,"ES19990085",2017,2017-06-15,2017-06-15,"LPK",6.45,"lbs",41.852976,-111.498408,2597.88,2597.88,2591.88
"4","0419030123901006001","PIEN","UT","Plant Trees","N/A",NA,NA,"ES19951084",2017,2017-06-15,2017-06-15,"LPK",3.76,"lbs",41.855723,-111.486279,2525.36,2525.36,2591.89
"4","0419030123901008001","PIEN","UT","Fill-in or Replant Trees","N/A",NA,NA,"ES19951084",2017,2017-06-15,2017-06-15,"LPK",3.76,"lbs",41.855723,-111.486279,2568.58,2568.58,2591.89
"4","041533352EMIGRAT012","PIEN","ID","Plant Trees","N/A",NA,NA,"ES05911082",2011,2011-10-30,2011-10-30,"LPK",7.08,"lbs",42.219273,-111.568291,2507.7,2507.7,2501.88
"4","041533352EMIGRAT011","PIEN","ID","Plant Trees","N/A",NA,NA,"ES05911082",2011,2011-10-26,2011-10-26,"LPK",7.08,"lbs",42.219273,-111.568291,2497.14,2497.14,2501.88
"4","040205175327PLNT001","PIEN","ID","Plantation Survival Survey","1STYEAR",15,6,"ES02894057",2021,2020-10-01,2020-10-01,"LPK",17.43,"lbs",44.388285,-116.070938,1618.48,1618.48,1734.18
"4","040205175326PL21021","PIEN","ID","Plant Trees","N/A",NA,NA,"ES02894057",2021,2021-10-09,2021-10-09,"LPK",17.43,"lbs",44.388285,-116.070938,1885.45,1885.45,1734.18
"4","040205175327PLNT007","PIEN","ID","Plant Trees","N/A",NA,NA,"ES02894057",2020,2020-09-30,2020-09-30,"LPK",17.43,"lbs",44.388285,-116.070938,1845.61,1845.61,1734.18
"4","040205175327PLNT003","PIEN","ID","Plant Trees","N/A",NA,NA,"ES02894057",2020,2020-09-30,2020-09-30,"LPK",17.43,"lbs",44.388285,-116.070938,1684.41,1684.41,1734.18
"4","040205175327PLNT006","PIEN","ID","Plant Trees","N/A",NA,NA,"ES02894057",2020,2020-09-30,2020-09-30,"LPK",17.43,"lbs",44.388285,-116.070938,1820.42,1820.42,1734.18
"4","040205175327PLNT005","PIEN","ID","Plant Trees","N/A",NA,NA,"ES02894057",2020,2020-09-30,2020-09-30,"LPK",17.43,"lbs",44.388285,-116.070938,1751.22,1751.22,1734.18
"4","040205175327PLNT008","PIEN","ID","Plant Trees","N/A",NA,NA,"ES02894057",2020,2020-09-30,2020-09-30,"LPK",17.43,"lbs",44.388285,-116.070938,1859.97,1859.97,1734.18
"4","0402050922200001000","PIEN","ID","Plant Trees","N/A",NA,NA,"ES02914066",2013,2013-05-30,2013-05-30,"LPK",16.27,"lbs",44.432932,-115.887662,2169.92,2169.92,2013.21
"4","0402050920600002000","PIEN","ID","Plant Trees","N/A",NA,NA,"ES02914066",2013,2013-06-02,2013-06-02,"LPK",16.27,"lbs",44.432932,-115.887662,1995.26,1995.26,2013.21
"4","0402050920600003000","PIEN","ID","Plant Trees","N/A",NA,NA,"ES02914066",2013,2013-06-02,2013-06-02,"LPK",16.27,"lbs",44.432932,-115.887662,2050.67,2050.67,2013.21
"4","0412012250040009000","PIEN","ID","Plant Trees","N/A",NA,NA,"ES12800064",2024,2024-09-24,2024-09-24,"LPK",14.76,"lbs",44.9992453,-116.1165007,2107.26,2107.26,2104.39
"4","0412011907941054000","PIEN","ID","Plant Trees","N/A",NA,NA,"ES12790071",2024,2020-05-13,2024-10-01,"LPK",28.08,"lbs",45.04257952,-116.1163241,1203.71,1203.71,2041.79
"4","0412012250940014000","PIEN","ID","Plant Trees","N/A",NA,NA,"ES12790071",2024,2024-09-24,2024-09-24,"LPK",28.08,"lbs",45.04257952,-116.1163241,2113.59,2113.59,2041.79
"4","0412022210940053000","PIEN","ID","Plant Trees","N/A",NA,NA,"ES12790071",2024,2024-09-25,2024-09-25,"LPK",28.08,"lbs",45.04257952,-116.1163241,1763.07,1763.07,2041.79
"4","0412022210940054000","PIEN","ID","Plant Trees","N/A",NA,NA,"ES12790071",2024,2024-09-25,2024-09-25,"LPK",28.08,"lbs",45.04257952,-116.1163241,1706.91,1706.91,2041.79
"4","0412022210940051000","PIEN","ID","Plant Trees","N/A",NA,NA,"ES12790071",2024,2024-09-25,2024-09-25,"LPK",28.08,"lbs",45.04257952,-116.1163241,1652.47,1652.47,2041.79
"4","0412022210741040000","PIEN","ID","Plant Trees","N/A",NA,NA,"ES12913045",2024,2024-09-16,2024-09-28,"LPK",1.82,"lbs",45.07417645,-116.3985333,1814.21,1814.21,1431.2
"4","0412022213841038000","PIEN","ID","Plant Trees","N/A",NA,NA,"ES12913045",2024,2024-09-27,2024-09-27,"LPK",1.82,"lbs",45.07417645,-116.3985333,1766.6,1766.6,1431.2
"4","0412012216540025000","PIEN","ID","Plant Trees","N/A",NA,NA,"ES12913045",2024,2024-09-30,2024-09-30,"LPK",1.82,"lbs",45.07417645,-116.3985333,1568.58,1568.58,1431.2
"4","0417010512700002005","PIJE","NV","Plant Trees","N/A",NA,NA,"JP17881065",2011,2011-04-29,2011-04-29,"LPK",11.85,"lbs",39.5637,-120.06662,1950.11,1950.11,1938.81
"4","0419040040750115000","PICO","UT","Plant Trees","N/A",NA,NA,"LP19090099",2012,2012-06-18,2012-06-18,"LPK",0.54,"lbs",40.943,-110.683,3154.44,3154.44,3028.98
"4","0419040040750116000","PICO","UT","Plant Trees","N/A",NA,NA,"LP19090099",2012,2012-06-18,2012-06-18,"LPK",0.54,"lbs",40.943,-110.683,3165.09,3165.09,3028.98
"4","0402050922600004000","PICO","ID","Plant Trees","N/A",NA,NA,"LP02091070",2013,2013-06-05,2013-06-05,"LPK",0.6,"lbs",44.234,-115.497,2047.75,2047.75,2141.07
"4","0402050921700001000","PICO","ID","Plant Trees","N/A",NA,NA,"LP02091070",2013,2013-05-31,2013-05-31,"LPK",0.6,"lbs",44.234,-115.497,2234.48,2234.48,2141.07
"4","0402050922200001000","PICO","ID","Plant Trees","N/A",NA,NA,"LP02091070",2013,2013-05-30,2013-05-30,"LPK",0.6,"lbs",44.234,-115.497,2169.92,2169.92,2141.07
"4","0402050922200002000","PICO","ID","Plant Trees","N/A",NA,NA,"LP02091070",2013,2013-06-06,2013-06-06,"LPK",0.6,"lbs",44.234,-115.497,2166.25,2166.25,2141.07
"4","0402050920600002000","PICO","ID","Plant Trees","N/A",NA,NA,"LP02091070",2013,2013-06-02,2013-06-02,"LPK",0.6,"lbs",44.234,-115.497,1995.26,1995.26,2141.07
"4","0402050920600003000","PICO","ID","Plant Trees","N/A",NA,NA,"LP02091070",2013,2013-06-02,2013-06-02,"LPK",0.6,"lbs",44.234,-115.497,2050.67,2050.67,2141.07
"4","0402050922600004000","PICO","ID","Plant Trees","N/A",NA,NA,"LP02091066",2013,2013-06-05,2013-06-05,"LPK",0.15,"lbs",44.26,-115.498,2047.75,2047.75,2219.64
"4","0402050922600005000","PICO","ID","Plant Trees","N/A",NA,NA,"LP02091066",2013,2013-06-04,2013-06-04,"LPK",0.15,"lbs",44.26,-115.498,2268.86,2268.86,2219.64
"4","0402050922200001000","PICO","ID","Plant Trees","N/A",NA,NA,"LP02091066",2013,2013-05-30,2013-05-30,"LPK",0.15,"lbs",44.26,-115.498,2169.92,2169.92,2219.64
"4","0402050922200002000","PICO","ID","Plant Trees","N/A",NA,NA,"LP02091066",2013,2013-06-06,2013-06-06,"LPK",0.15,"lbs",44.26,-115.498,2166.25,2166.25,2219.64
"4","0402050920600001000","PICO","ID","Plant Trees","N/A",NA,NA,"LP02091066",2013,2013-06-03,2013-06-03,"LPK",0.15,"lbs",44.26,-115.498,2002.19,2002.19,2219.64
"4","0402050920600002000","PICO","ID","Plant Trees","N/A",NA,NA,"LP02091066",2013,2013-06-02,2013-06-02,"LPK",0.15,"lbs",44.26,-115.498,1995.26,1995.26,2219.64
"4","0402050920600003000","PICO","ID","Plant Trees","N/A",NA,NA,"LP02091066",2013,2013-06-02,2013-06-02,"LPK",0.15,"lbs",44.26,-115.498,2050.67,2050.67,2219.64
"4","041533352EMIGRAT012","PICO","ID","Plant Trees","N/A",NA,NA,"LP05881081",2011,2011-10-30,2011-10-30,"LPK",2.71,"lbs",42.262124,-111.616013,2507.7,2507.7,2472.38
"4","041533352EMIGRAT011","PICO","ID","Plant Trees","N/A",NA,NA,"LP05881081",2011,2011-10-26,2011-10-26,"LPK",2.71,"lbs",42.262124,-111.616013,2497.14,2497.14,2472.38
"4","041555556STEWART004","PICO","ID","Fill-in or Replant Trees","N/A",NA,NA,"LP05890074",2010,2010-06-11,2010-06-11,"LPK",1.41,"lbs",42.73022,-111.233123,2161.44,2161.44,2256.17
"4","041555556STEWART016","PICO","ID","Fill-in or Replant Trees","N/A",NA,NA,"LP05890074",2010,2010-06-10,2010-06-10,"LPK",1.41,"lbs",42.73022,-111.233123,2214.88,2214.88,2256.17
"4","041555556STEWART010","PICO","ID","Fill-in or Replant Trees","N/A",NA,NA,"LP05890074",2010,2010-06-11,2010-06-11,"LPK",1.41,"lbs",42.73022,-111.233123,2178.85,2178.85,2256.17
"4","041555556STEWART019","PICO","ID","Fill-in or Replant Trees","N/A",NA,NA,"LP05890074",2010,2010-06-10,2010-06-10,"LPK",1.41,"lbs",42.73022,-111.233123,2180.65,2180.65,2256.17
"4","041555556STEWART008","PICO","ID","Fill-in or Replant Trees","N/A",NA,NA,"LP05890074",2010,2010-06-11,2010-06-11,"LPK",1.41,"lbs",42.73022,-111.233123,2175.58,2175.58,2256.17
"4","0402011680900092000","PICO","ID","Plant Trees","N/A",NA,NA,"LP02973060",2024,2024-10-27,2024-10-27,"LPK",0.11,"lbs",43.767672,-115.765681,2000.85,2000.85,1826.16
"4","0402050922200003000","PICO","ID","Plant Trees","N/A",NA,NA,"LP02091074",2013,2013-06-06,2013-06-06,"LPK",0.19,"lbs",44.240392,-115.504424,2242.48,2242.48,2249.23
"4","0402050921700001000","PICO","ID","Plant Trees","N/A",NA,NA,"LP02091074",2013,2013-05-31,2013-05-31,"LPK",0.19,"lbs",44.240392,-115.504424,2234.48,2234.48,2249.23
"4","0402050922200001000","PICO","ID","Plant Trees","N/A",NA,NA,"LP02091074",2013,2013-05-30,2013-05-30,"LPK",0.19,"lbs",44.240392,-115.504424,2169.92,2169.92,2249.23
"4","0402050922200002000","PICO","ID","Plant Trees","N/A",NA,NA,"LP02091074",2013,2013-06-06,2013-06-06,"LPK",0.19,"lbs",44.240392,-115.504424,2166.25,2166.25,2249.23
"3","030505030505BHFR020","PIPO","AZ","Fill-in or Replant Trees","N/A",NA,NA,"PP05031078",2022,2022-09-20,2022-09-20,"LPK",0.99,"lbs",32.41622,-110.71265,2357.11,2357.11,2531.25
"3","030505030505BHFR023","PIPO","AZ","Fill-in or Replant Trees","N/A",NA,NA,"PP05050690",2022,2022-10-10,2022-10-10,"LPK",0.46,"lbs",32.44018,-110.78655,2689.53,2689.53,2779.03
"3","030505030505BHFR022","PIPO","AZ","Fill-in or Replant Trees","N/A",NA,NA,"PP05050390",2022,2022-10-04,2022-10-04,"LPK",0.91,"lbs",32.44132,-110.78827,2401.28,2401.28,2783.82
"3","030505030505BHFR021","PIPO","AZ","Fill-in or Replant Trees","N/A",NA,NA,"PP05050390",2022,2022-10-04,2022-10-04,"LPK",0.91,"lbs",32.44132,-110.78827,2419.03,2419.03,2783.82
"3","0308020000000121009","PIPO","NM","Plant Trees","N/A",NA,NA,"PP08192377",2024,2024-10-26,2024-10-26,"LPK",11.69,"lbs",32.70453,-105.58732,2314.78,2314.78,2349.43
